abbreviation of methods
P: Procrustes
P+rw: Procrustes + proposed reweighing
iP: iterN + Procrustes
iP+rw: iterN + Procrustes + proposed reweighing
RCSLS+rw: RCSLS+reweigh

pairs  P    P+rw   iP   iP+rw RCSLS RCSLS+rw
af-en 10.55	13.06	10.51	12.87	9.43	10.41
ar-en 30.40	30.40	30.90	30.90	32.83	32.83
bg-en 30.05	30.57	30.43	30.76	28.47	28.87
bn-en 11.05	11.53	11.64	11.70	10.31	10.31
bs-en 10.64	11.24	10.67	11.03	10.07	10.11
ca-en 46.98	47.99	47.58	48.33	42.27	43.71
cs-en 41.63	41.67	41.58	41.60	38.82	39.04
da-en 28.77	30.06	28.98	29.91	25.52	26.49
de-en 69.94	69.87	69.96	69.94	66.58	66.56
de-es 63.14	63.24	63.66	63.91	60.83	61.45
de-fr 74.00	73.97	74.80	74.87	72.80	73.07
de-it 68.80	69.09	69.63	69.91	66.92	67.73
de-pt 55.97	56.67	56.97	57.53	53.51	54.90
el-en 27.43	27.90	28.04	28.18	27.16	27.19
en-af 12.16	13.32	12.39	13.47	9.70	10.67
en-ar 20.84	22.66	21.18	22.45	21.12	21.90
en-bg 22.26	23.72	22.46	23.96	20.92	22.28
en-bn 6.54	7.78	6.85	7.71	6.07	6.03
en-bs 7.51	8.78	7.69	8.55	6.78	7.66
en-ca 44.10	45.21	45.08	46.05	40.85	42.48
en-cs 38.01	39.13	37.83	38.90	34.95	36.33
en-da 25.24	27.07	25.64	27.26	22.32	23.93
en-de 68.84	69.08	69.02	69.24	66.04	66.41
en-el 21.66	23.29	21.98	23.37	19.73	20.97
en-es 73.69	73.98	74.14	74.40	70.10	70.87
en-et 18.46	20.35	19.37	20.99	19.15	20.24
en-fa 13.53	15.31	13.66	15.03	12.18	13.02
en-fi 31.79	33.40	31.65	33.09	31.67	32.55
en-fr 74.77	75.07	75.53	75.86	71.53	72.22
en-he 26.30	28.06	26.34	28.01	26.01	26.80
en-hi 11.98	12.66	12.79	13.48	11.79	12.26
en-hr 16.51	17.64	16.72	17.65	15.92	16.82
en-hu 40.04	41.79	40.58	41.89	38.71	39.74
en-id 29.89	31.54	30.93	32.55	26.25	28.42
en-it 68.02	68.48	68.71	69.24	63.55	64.90
en-ja 1.24	2.67	32.24	33.12	0.24	4.13
en-ko 23.14	24.67	22.27	24.32	25.64	26.68
en-lt 10.90	11.66	10.57	11.14	9.26	10.00
en-lv 10.22	11.16	10.47	11.07	9.42	10.17
en-mk 15.90	17.52	16.55	17.79	15.86	16.65
en-ms 16.22	17.55	16.89	18.12	14.44	15.46
en-nl 54.89	55.68	55.51	56.36	50.07	51.49
en-no 34.74	36.32	35.47	36.59	31.31	33.01
en-pl 49.01	49.41	48.34	48.83	44.37	45.21
en-pt 57.92	59.08	58.66	59.66	52.76	54.68
en-ro 28.25	29.75	28.93	30.38	25.90	27.38
en-ru 43.21	43.52	42.81	43.10	42.15	42.31
en-sk 16.47	17.72	16.69	17.82	14.85	16.04
en-sl 13.86	15.25	14.15	15.64	13.02	14.07
en-sq 8.46	9.40	8.89	9.65	7.90	8.68
en-sv 32.63	33.49	33.38	34.17	30.11	31.36
en-ta 6.38	7.18	6.54	7.13	5.75	5.92
en-th 7.46	7.34	7.85	8.06	6.77	7.27
en-tl 7.62	8.18	7.67	8.09	6.17	6.70
en-tr 27.13	28.87	27.37	28.71	22.15	23.89
en-uk 25.33	25.80	24.91	25.17	24.12	24.66
en-vi 21.52	22.60	21.93	23.00	18.01	19.45
en-zh 16.43	18.44	19.29	19.98	10.29	11.36
es-de 66.30	66.91	66.76	67.42	62.36	63.48
es-en 75.37	75.37	75.67	75.72	71.15	71.66
es-fr 80.25	80.47	80.85	81.09	78.19	78.85
es-it 79.75	80.16	80.25	80.69	77.22	78.11
es-pt 82.82	83.21	83.20	83.55	79.98	80.83
et-en 22.50	22.97	22.84	23.00	23.64	23.68
fa-en 15.53	16.78	16.16	16.85	14.41	14.73
fi-en 38.11	38.22	38.26	38.26	38.79	38.79
fr-de 74.67	74.99	75.08	75.44	72.05	72.61
fr-en 76.81	76.92	77.42	77.48	73.32	73.82
fr-es 80.34	80.55	80.72	80.94	78.19	78.98
fr-it 78.13	78.52	78.58	78.89	75.67	76.64
fr-pt 66.30	67.16	66.74	67.55	62.99	64.46
he-en 32.20	32.47	32.54	32.48	31.15	31.20
hi-en 17.67	18.66	18.02	18.83	16.44	16.52
hr-en 21.88	21.97	21.66	21.82	20.96	21.02
hu-en 42.97	43.15	43.27	43.24	43.17	43.27
id-en 30.88	32.89	31.23	33.29	25.32	27.03
it-de 69.85	70.39	70.17	70.67	67.03	68.18
it-en 69.08	69.41	69.56	69.84	64.71	65.67
it-es 81.38	81.81	81.88	82.21	79.60	80.48
it-fr 80.02	80.38	80.63	80.92	78.27	79.04
it-pt 73.14	74.15	73.73	74.72	70.48	72.08
ja-en 0.15	0.48	27.28	27.91	0.00	0.01
ko-en 18.87	18.87	20.91	20.82	20.95	20.56
lt-en 13.02	13.03	13.03	13.03	11.46	11.58
lv-en 14.65	14.91	14.85	14.84	14.29	14.29
mk-en 23.90	24.53	24.26	24.57	23.69	23.85
ms-en 15.51	17.71	15.71	17.64	12.68	14.04
nl-en 57.45	58.06	57.94	58.42	52.83	53.73
no-en 37.41	38.64	37.76	38.58	33.11	34.42
pl-en 51.64	51.64	51.65	51.65	47.47	47.47
pt-de 58.45	59.30	58.72	59.51	54.51	56.06
pt-en 59.73	60.44	60.24	60.84	54.54	55.90
pt-es 85.00	85.48	85.52	85.89	82.61	83.40
pt-fr 68.39	69.35	69.05	70.01	65.48	67.06
pt-it 73.25	74.31	74.09	75.03	70.42	72.04
ro-en 33.91	34.78	34.12	34.76	30.48	31.24
ru-en 48.92	48.92	49.39	49.39	48.40	48.40
sk-en 21.79	22.02	21.63	21.80	20.06	20.05
sl-en 19.65	19.97	19.74	20.04	18.37	18.41
sq-en 13.21	13.72	13.31	13.56	12.92	12.90
sv-en 39.10	39.27	39.82	40.01	35.17	35.66
ta-en 9.84	10.06	10.19	10.23	10.07	9.99
th-en 4.02	4.87	4.01	4.71	2.99	3.56
tl-en 5.96	7.47	5.87	7.17	5.79	6.35
tr-en 28.93	30.00	29.07	29.83	23.95	24.89
uk-en 31.02	30.78	31.38	31.38	29.14	29.14
vi-en 25.13	26.69	24.85	26.08	17.85	19.16
zh-en 15.61	17.38	27.08	27.21	0.51	0.55
